Rk.,SNo,Unnamed: 2,Name,FED,Rtg,Club/City,TB1,TB2,TB3
1,2,NM,"Moldovan, Adrian",ARG,2179,Tigre,6.5,0,31.5
2,4,NM,"Basso, Leonardo",ARG,2067,Tigre,6.0,0,28.5
3,9,,"Gioscio Iribarne, Jorge Gabriel",ARG,1742,Mercedes,5.5,0,27.5
4,3,NM,"Zarate, Cristian",ARG,2105,Pte Derqui,5.0,0,33.5
5,1,NM,"Amato, Leonel",ARG,2184,Tigre,5.0,0,29.5
6,6,,"Gomez padula, Emanuel",ARG,2013,Mercedes,5.0,0,23.5
7,5,CM,"Sanches, Carlos",ARG,2021,Tigre,4.5,0,30.5
8,12,,"Easdale, Alan",ARG,1629,Tigre,4.5,0,29.0
9,33,,"Pineda, Thiago",ARG,0,Escobar,4.5,0,27.0
10,29,,"Oharriz, Joaquín",ARG,0,Lobos,4.5,0,26.0
11,14,,"Galeano, Mayte",ARG,1465,Tigre,4.5,0,25.0
12,40,,"Umpierre, Enzo",ARG,0,Lobos,4.5,0,23.5
13,22,,"Facundo, Maia",ARG,0,Lobos,4.5,0,23.5
14,10,,"Polero, Nahuel",ARG,1719,General Rodríguez,4.0,0,28.5
15,13,,"Stutz, Leon",ARG,1586,Tigre,4.0,0,26.0
16,11,,"Silva, Jorgelina Del Valle",ARG,1687,Cañuelas,4.0,0,25.5
17,18,,"Completa, Alan",ARG,0,Escobar,4.0,0,24.5
18,38,,"Suárez, Alejandro",ARG,0,Tigre,4.0,0,24.5
19,27,,"Martínez Albanesi, Julián",ARG,0,Lobos,4.0,0,21.5
20,8,,"Opatril, Guillermo",ARG,1849,,3.5,0,26.5
21,7,,"HERNANDEZ, Luis Crisanto",ARG,1909,Cañuelas,3.5,0,26.0
22,28,,"Niccia, Juan Daniel",ARG,0,Lobos,3.5,0,25.5
23,30,,"Olivera Sacchi, Guadalupe",ARG,0,General Rodríguez,3.5,0,22.5
24,19,,"Coppari, Emiliano",ARG,0,Lobos,3.5,0,22.0
25,21,,"Ernst, Marcelo",ARG,0,Escobar,3.5,0,18.5
26,25,,"Gonzalez, nazareno",ARG,0,Escobar,3.0,0,26.0
27,34,,"Restuccia, Renzo Uziel",ARG,0,General Rodríguez,3.0,0,25.5
28,42,,"Veron, Kevin",ARG,0,Marcos Paz,3.0,0,24.5
29,26,,"Lanzos, Ernesto",ARG,0,Tigre,3.0,0,23.0
30,17,,"Cisnero, María Luana",ARG,0,Tigre,3.0,0,22.5
31,37,,"Rojas, Sari",ARG,0,Luján,3.0,0,21.0
32,20,,"Della Vedova, Víctor",ARG,0,General Rodríguez,3.0,0,18.5
33,15,,"Aquino, Junior",ARG,0,General Rodríguez,2.5,0,28.5
34,35,,"Rojas, Ismael",ARG,0,Luján,2.5,0,26.5
35,43,,"Villar, Javier",ARG,0,Campana,2.5,0,20.5
36,24,,"Galeano, Eduardo",ARG,0,,2.0,0,26.0
37,44,,"Villasrreo, Esteban Sebastián",ARG,0,General Las Heras,2.0,0,23.5
38,36,,"Rojas, Samuel",ARG,0,Luján,2.0,0,23.5
39,39,,"Suarez, Noelia Iraní",ARG,0,General Rodríguez,2.0,0,23.5
40,16,,"Boubet, Matías",ARG,0,,2.0,0,19.0
41,41,,"Vera, Franco",ARG,0,Tigre,2.0,0,18.5
42,32,,"Pereira, Jorge David",ARG,0,Tigre,2.0,0,17.5
43,23,,"FERRA, Alberto",ARG,0,Cañuelas,1.0,1,21.0
44,31,,"Pentray, Óscar",ARG,0,Lobos,1.0,0,19.0
